camera,age,ram,cpu_score,slot_sd,sims,price
148,1,8,56,0,1,53865
69,0,4,84,0,2,33553
0,1,12,71,1,1,46965
132,2,8,87,1,2,68410
11,0,6,61,1,2,46218
89,3,6,43,0,1,33359
45,2,8,44,0,2,32816
33,2,4,76,1,1,63026
176,3,6,80,1,1,58705
77,0,16,88,1,1,69922
44,0,8,52,0,1,58164
154,2,8,73,0,1,16378
72,0,6,84,0,1,9881
25,1,4,61,0,2,47567
46,3,16,92,0,2,55365
120,1,4,98,1,2,21675
55,0,12,62,0,2,12586
93,2,12,90,0,1,33006
106,3,6,42,0,2,49198
62,0,6,81,0,2,30831
47,0,6,73,0,2,43113
60,2,12,71,1,1,24459
80,2,4,84,0,2,40443
25,1,4,90,0,1,50316
35,3,6,97,0,2,38595
0,3,16,88,1,1,13877
7,2,4,60,1,1,47553
112,1,12,85,1,2,56601
98,3,8,83,0,1,12922
179,2,8,60,1,1,65242
46,0,8,83,0,2,59482
126,3,16,50,0,2,12686
55,1,6,78,1,2,40766
13,1,12,43,0,1,22407
27,1,16,90,0,1,40006
77,0,12,40,0,1,39422
129,3,12,67,1,2,59054
108,3,6,63,0,1,20205
153,0,8,100,0,1,29054
13,3,6,74,1,1,31527
186,0,16,52,0,1,53947
55,0,16,86,0,1,26443
114,0,16,73,1,1,24524
6,1,6,50,0,1,58941
2,3,12,75,0,2,36202
110,0,12,90,0,2,8016
150,3,4,100,0,2,54142
106,1,16,56,0,1,69692
17,0,12,74,1,1,24848
37,2,4,99,1,2,28855
114,1,12,57,1,1,26211
14,2,16,79,1,2,68372
191,3,8,61,0,1,33095
118,3,16,96,0,1,46724
27,1,6,63,0,2,57241
38,3,12,97,0,2,45583
184,2,12,58,0,2,60003
16,0,6,76,1,2,10843
85,0,6,78,1,2,37301
125,0,8,60,0,1,34460
43,1,12,47,0,1,39918
24,3,12,67,0,1,36747
144,2,8,44,1,2,23972
12,3,4,56,0,2,66269
24,3,8,76,0,2,36310
67,3,16,75,0,2,30927
137,0,12,93,1,2,63053
66,2,6,58,0,2,58121
108,2,16,66,1,1,9094
145,3,12,92,1,1,46892
